matricule,serie_bac,wilaya_bac,moyenne_bac,sexe,english,french,his_geo,arabic_literature,maths,philosophy,physics,primary_module,islamic_science
37026023,N03,13,15.87,MASCULIN,16.5,14.0,11.5,13.0,18.5,4.5,19.0,17.0,17.5
37061924,N03,46,13.23,MASCULIN,13.5,14.0,15.5,13.5,13.5,4.0,13.0,12.5,18.0
37075765,N03,48,15.68,FEMININ,10.5,11.5,13.5,16.0,15.0,17.0,19.0,15.5,19.0
36008670,N03,21,9.33,FEMININ,3.0,4.5,10.5,10.0,9.0,7.0,12.5,7.5,15.0
32022936,N03,9,15.2,FEMININ,7.5,7.5,17.5,13.5,15.0,14.0,18.5,16.0,20.0
36044855,N03,36,9.72,FEMININ,9.5,6.5,7.0,16.0,10.5,6.5,6.5,9.0,13.0
34034036,N03,25,11.55,FEMININ,12.5,6.0,14.0,12.5,9.0,3.0,13.0,12.0,18.0
34032150,N03,25,17.08,MASCULIN,15.0,13.5,18.5,18.0,19.0,8.5,18.5,17.0,19.0
36037769,N03,24,12.86,FEMININ,16.0,12.5,12.0,18.0,12.5,5.0,8.0,13.5,19.0
34016216,N03,12,10.0,MASCULIN,11.0,9.5,10.5,13.5,9.0,4.5,13.5,7.0,8.0
32055688,N04,42,12.84,FEMININ,13.0,9.0,13.5,15.5,13.0,6.5,13.5,14.0,14.5
35037405,N03,7,10.05,MASCULIN,9.5,11.0,10.0,11.0,10.5,7.5,8.0,8.5,14.5
36008309,N03,21,11.48,FEMININ,8.5,10.5,13.5,13.0,11.0,16.5,11.0,8.0,15.5
37018029,N05,13,11.32,MASCULIN,6.5,6.0,11.0,6.0,9.5,11.5,6.5,19.0,18.5
35011303,N05,5,12.81,FEMININ,10.5,6.5,15.5,16.0,12.0,8.0,9.5,16.0,20.0
31020609,N03,15,14.17,FEMININ,11.5,13.5,15.0,13.0,15.5,10.0,16.0,13.0,12.5
36021469,N03,23,12.12,MASCULIN,10.0,11.5,7.5,15.0,16.0,4.5,15.0,9.0,11.5
31011448,N05,15,10.63,MASCULIN,6.0,14.0,14.5,16.5,14.5,17.0,13.0,10.0,13.0
31053041,N03,16,14.16,MASCULIN,16.5,12.5,13.5,16.0,17.0,6.0,15.5,10.0,19.0
35002604,N04,5,16.23,MASCULIN,19.0,15.0,17.5,15.5,16.5,9.0,19.5,8.0,17.5
38043794,N05,29,12.05,FEMININ,10.0,7.5,10.5,12.0,13.5,1.5,8.0,19.0,11.0
38065083,N03,45,12.57,FEMININ,8.5,9.0,16.0,16.0,10.5,10.5,10.5,15.0,14.0
36050382,N03,41,12.05,FEMININ,6.0,2.0,15.0,11.0,10.5,5.5,14.5,15.0,19.0
35067225,N05,19,15.47,MASCULIN,14.0,16.0,13.0,12.0,16.0,9.0,16.5,18.0,15.0
39088141,N03,47,9.78,MASCULIN,3.5,10.5,11.5,10.5,9.5,9.0,10.5,8.0,13.5
34032209,N03,25,11.32,MASCULIN,10.5,7.0,14.0,8.0,13.0,6.0,11.5,11.5,15.0
35035450,N03,7,13.22,MASCULIN,16.5,12.0,14.5,14.5,11.5,6.5,14.0,13.5,13.0
36022203,N03,23,17.77,FEMININ,17.0,16.5,17.5,16.0,19.0,12.5,19.5,18.0,19.5
38008769,N03,14,15.81,FEMININ,14.5,15.0,15.0,17.5,17.0,8.0,15.5,16.5,18.5
31009204,N04,15,14.06,FEMININ,17.0,17.0,16.5,13.5,16.0,6.5,11.0,8.5,15.5
39075370,N03,39,13.37,MASCULIN,16.5,13.0,16.5,15.0,12.5,9.0,13.5,11.5,14.5
31072845,N04,16,13.67,FEMININ,18.5,17.0,14.0,12.0,14.0,6.0,12.0,11.0,20.0
34074568,N03,43,12.44,FEMININ,8.5,7.5,7.5,11.0,13.5,8.5,15.0,13.0,18.0
33021141,N03,10,11.02,MASCULIN,8.5,11.5,11.5,14.5,10.5,6.5,8.5,10.0,18.5
32059800,N03,44,14.53,FEMININ,13.5,11.5,13.5,14.0,19.5,15.5,18.0,8.0,18.0
31077065,N03,16,12.95,FEMININ,13.0,11.5,12.0,15.0,9.0,9.0,14.0,13.5,19.0
32007369,N04,2,17.27,MASCULIN,18.0,17.0,17.5,18.5,18.5,12.0,19.0,8.0,19.0
36014685,N03,21,13.08,MASCULIN,9.0,6.5,14.5,9.0,17.5,4.5,15.0,13.5,18.0
37077773,N03,46,11.32,MASCULIN,7.0,6.0,14.5,10.5,9.5,10.5,12.5,11.5,17.5
31067658,N03,16,13.52,FEMININ,16.0,16.5,11.0,12.5,16.0,10.0,16.5,12.0,6.5
35064276,N03,19,15.43,FEMININ,14.0,13.0,17.5,15.0,19.0,11.5,13.5,15.0,19.0
31026284,N03,15,11.48,FEMININ,9.5,8.0,9.5,13.5,13.0,5.0,11.5,8.5,16.5
31092267,N03,16,14.05,FEMININ,9.5,8.5,14.5,16.5,16.0,9.5,13.0,15.5,18.0
36024878,N03,23,16.95,FEMININ,15.0,14.5,17.0,18.5,19.5,10.5,19.5,14.5,18.5
31069970,N03,16,14.93,FEMININ,13.5,14.0,13.5,13.5,20.0,11.0,15.5,13.0,16.5
37019852,N03,13,10.97,MASCULIN,14.0,9.5,11.0,8.5,13.0,3.5,10.0,10.5,16.0
37068520,N05,48,10.03,FEMININ,8.5,12.5,11.5,13.0,5.0,5.0,5.5,15.0,15.5
38046198,N03,29,10.35,FEMININ,6.5,8.5,13.0,10.5,11.5,8.5,11.5,6.5,16.5
35006119,N03,5,12.57,MASCULIN,15.5,11.5,10.5,13.5,15.0,4.5,12.5,11.0,15.0
37057501,N03,31,15.37,FEMININ,16.5,15.0,12.5,13.0,16.5,6.0,18.0,16.5,15.5
35027368,N05,5,11.33,MASCULIN,4.0,5.5,10.0,8.5,14.0,1.5,15.5,12.5,11.5
32023109,N03,9,10.27,FEMININ,11.0,9.5,14.5,10.5,6.5,9.0,6.0,13.5,14.5
32055398,N03,42,11.06,FEMININ,14.5,14.0,11.5,14.5,10.0,10.5,5.5,11.5,12.0
32001860,N03,2,9.79,MASCULIN,8.5,8.5,8.0,8.5,8.5,3.0,8.0,13.0,16.5
36018612,N03,23,11.29,FEMININ,14.0,14.5,16.0,11.0,10.0,8.5,8.0,10.0,15.5
39028546,N05,17,12.23,FEMININ,10.5,5.0,16.5,11.5,12.5,12.0,14.0,9.5,19.0
33000527,N03,6,10.7,MASCULIN,8.5,14.5,9.5,14.5,8.0,3.0,10.0,11.5,15.0
35080923,N03,28,11.37,MASCULIN,15.0,15.0,9.0,12.5,12.5,4.5,12.0,8.5,12.0
31066656,N04,16,15.57,MASCULIN,9.5,10.5,18.0,17.5,14.0,12.0,19.0,14.5,20.0
34029913,N03,25,14.7,FEMININ,13.5,11.5,16.0,11.0,11.0,13.0,17.0,18.5,15.0
31045780,N03,16,14.62,FEMININ,11.0,6.0,16.0,15.0,14.5,12.5,16.5,15.5,18.0
31086676,N03,16,12.15,MASCULIN,9.5,7.5,11.5,15.0,15.5,4.0,17.0,9.0,10.5
35013900,N03,5,14.0,FEMININ,13.0,14.0,16.0,13.5,12.5,2.5,15.0,14.5,19.5
32037123,N03,26,12.42,FEMININ,10.5,11.0,13.5,14.0,12.5,13.5,12.5,9.5,17.0
39082796,N03,47,9.25,FEMININ,5.0,6.0,12.5,14.5,6.0,11.0,4.5,10.0,17.5
31086835,N03,16,12.73,FEMININ,11.0,15.5,12.5,15.5,13.5,7.0,11.5,12.5,13.0
39016094,N03,3,15.15,MASCULIN,10.0,10.0,14.0,16.5,17.5,12.5,20.0,11.5,18.0
37035476,N03,27,10.02,MASCULIN,13.0,10.5,14.5,14.0,10.5,4.0,9.5,5.5,11.5
33015952,N03,6,10.9,MASCULIN,13.5,15.5,14.5,12.0,7.5,10.5,7.5,10.0,18.5
32071389,N03,44,10.98,MASCULIN,13.0,9.0,13.5,13.0,4.5,5.5,17.5,10.5,11.5
37030979,N03,13,16.5,FEMININ,12.5,13.0,17.5,16.5,17.0,16.0,20.0,14.5,19.5
33019031,N03,10,9.03,MASCULIN,9.0,10.5,9.0,8.5,8.0,10.0,9.5,5.5,14.5
39023278,N03,17,15.53,FEMININ,7.0,11.5,16.0,16.5,19.5,7.5,17.5,15.0,19.0
31101716,N03,16,10.64,FEMININ,9.0,11.5,12.0,13.5,11.0,5.0,9.0,9.0,16.5
32050179,N03,42,10.62,MASCULIN,7.5,7.5,8.5,15.0,16.0,3.5,6.5,10.5,12.5
33011585,N03,6,9.36,FEMININ,9.0,12.0,8.5,8.0,9.0,4.5,9.0,8.0,17.0
35049721,N05,19,9.68,MASCULIN,8.5,5.5,9.0,11.5,5.5,2.5,8.5,15.0,13.5
37021232,N03,13,10.51,FEMININ,4.5,11.0,9.0,10.0,8.0,13.0,13.5,9.0,15.0
36015763,N03,21,17.41,FEMININ,15.5,15.0,18.5,19.5,19.0,13.5,19.5,15.0,19.5
37030106,N05,27,11.52,FEMININ,9.5,8.5,10.0,15.5,11.5,7.5,8.5,15.0,13.0
37052064,N03,31,17.07,FEMININ,12.5,14.5,15.5,15.0,19.5,16.0,19.5,16.5,19.0
33047325,N03,34,11.73,FEMININ,4.5,10.0,14.0,9.5,14.5,6.5,12.5,12.5,13.0
31063586,N04,16,9.74,MASCULIN,13.5,17.0,6.5,9.0,9.0,3.5,13.5,3.0,4.0
33018299,N05,10,9.85,FEMININ,4.0,6.5,11.0,7.5,10.0,3.0,10.0,13.0,12.0
33058002,N03,34,14.95,FEMININ,8.5,9.5,14.5,16.0,19.0,12.0,16.5,14.5,13.5
38069991,N03,38,10.68,MASCULIN,13.5,13.5,8.0,11.0,12.5,10.0,8.5,8.0,12.5
32041163,N03,26,10.04,FEMININ,12.5,7.5,10.0,13.0,5.0,10.5,8.0,12.0,12.5
33053581,N03,34,9.77,MASCULIN,10.0,7.0,9.5,13.0,6.0,7.0,8.0,12.0,13.0
32033684,N03,9,11.93,FEMININ,5.0,7.0,9.5,8.5,16.5,7.0,14.0,13.0,16.5
31017576,N03,15,14.22,FEMININ,17.5,16.5,11.0,12.0,15.0,8.5,13.0,12.5,19.5
36049814,N03,36,16.4,FEMININ,15.0,11.0,19.0,17.0,17.0,15.0,19.5,13.5,19.0
35054984,N03,19,10.88,MASCULIN,13.5,10.5,11.5,16.0,13.0,2.5,8.5,8.5,12.5
37026312,N03,13,10.9,FEMININ,13.0,14.0,12.5,15.5,12.5,5.5,9.0,7.0,15.0
37058720,N03,31,10.97,FEMININ,8.0,7.0,13.0,14.0,9.0,11.0,8.0,13.0,14.0
31038815,N03,16,13.88,FEMININ,12.5,14.0,13.0,16.5,9.5,8.5,15.0,15.5,18.5
34014250,N03,12,10.53,FEMININ,9.0,12.0,10.5,14.5,8.5,2.5,7.0,13.5,13.0
34060317,N03,43,10.77,MASCULIN,10.5,10.5,11.5,8.0,10.0,5.0,14.0,9.0,16.5
38046723,N03,29,9.39,FEMININ,13.0,10.5,13.5,8.0,2.5,7.5,11.0,8.0,18.0
37000313,N05,1,12.88,MASCULIN,14.0,7.5,9.5,13.5,10.0,9.5,13.0,17.0,14.5
36045060,N03,36,14.67,FEMININ,11.5,12.0,15.5,13.0,18.5,5.0,17.0,14.0,18.5
38051229,N03,29,11.95,MASCULIN,14.0,13.0,16.5,8.0,13.0,6.0,15.5,6.5,17.5
36023237,N04,23,16.19,FEMININ,14.0,10.0,18.5,13.5,18.0,12.0,18.5,13.0,18.5
31059387,N03,16,10.54,MASCULIN,5.0,9.5,14.5,13.0,12.5,7.5,7.5,9.5,14.5
37037512,N04,27,16.97,FEMININ,18.0,13.5,19.5,14.0,19.0,10.0,19.5,10.5,19.0
34006089,N03,4,15.12,MASCULIN,14.0,11.0,13.5,16.0,17.0,11.0,18.5,12.5,19.5
32018436,N04,9,17.59,MASCULIN,16.0,16.0,19.0,17.0,18.5,15.5,18.5,13.5,19.5
37062034,N03,46,14.54,FEMININ,13.0,15.0,14.0,17.0,16.0,6.0,15.0,13.5,17.0
39004724,N03,3,11.55,FEMININ,18.0,11.5,10.0,11.5,8.5,8.5,12.5,9.5,17.5
38043482,N03,29,10.28,MASCULIN,7.5,7.0,7.0,11.5,12.0,5.5,8.0,12.5,13.5
35058489,N03,19,12.07,FEMININ,10.0,11.0,12.0,13.0,13.5,8.5,9.5,12.0,17.5
31035647,N03,35,17.38,FEMININ,16.0,14.0,19.0,12.0,19.0,14.0,19.5,18.5,19.5
38021566,N03,14,9.02,FEMININ,7.5,10.5,10.5,15.0,2.0,8.0,3.0,13.0,15.0
33039972,N03,18,11.26,FEMININ,10.5,15.0,11.5,13.5,9.0,8.0,12.0,10.0,15.5
39019260,N03,17,9.58,FEMININ,9.5,6.5,10.5,7.5,7.5,5.0,13.5,8.5,13.5
39029894,N03,17,10.74,FEMININ,6.0,5.5,7.0,15.0,13.5,9.0,12.0,6.5,19.0
37032928,N03,27,10.05,FEMININ,9.5,7.0,11.0,10.5,10.0,11.0,7.0,11.0,12.0
36036370,N03,24,10.93,MASCULIN,15.5,10.0,15.5,13.0,4.5,12.5,9.5,10.5,14.5
37029840,N03,27,11.91,MASCULIN,13.5,12.0,16.5,16.5,9.5,10.0,10.5,8.0,18.5
31058737,N04,16,15.98,FEMININ,15.0,17.0,13.0,11.5,18.0,11.0,20.0,9.0,17.0
31033746,N03,35,9.87,MASCULIN,7.5,6.0,15.0,12.5,8.5,5.0,7.5,12.0,10.5
36049469,N03,41,16.38,MASCULIN,15.0,12.0,15.0,14.0,19.5,10.5,19.5,16.0,17.0
32003854,N03,2,16.0,FEMININ,14.5,13.5,17.0,16.5,16.0,16.5,15.5,16.0,18.0
38063395,N03,45,10.24,MASCULIN,4.0,3.5,12.5,11.5,4.5,13.0,9.5,14.0,18.0
35042790,N03,7,9.52,FEMININ,14.5,9.5,13.0,13.5,7.5,4.5,6.5,8.0,12.5
35016996,N05,5,9.86,MASCULIN,5.0,5.0,5.0,10.0,11.5,3.5,9.5,13.0,11.5
36027373,N03,23,16.28,FEMININ,17.0,15.0,15.0,16.5,14.0,14.5,16.0,18.0,19.0
32063604,N03,44,10.85,MASCULIN,3.0,5.0,15.0,11.0,4.0,6.0,11.0,17.5,19.0
34014220,N03,12,15.38,FEMININ,14.5,13.5,9.5,19.0,19.0,12.0,15.5,14.5,14.0
39001773,N03,3,11.68,FEMININ,3.5,8.0,15.0,15.0,11.0,14.5,13.5,8.5,18.0
31108426,N03,16,13.82,FEMININ,11.5,8.5,16.0,18.0,13.0,16.5,12.5,12.5,18.0
36029251,N04,23,13.84,FEMININ,15.5,9.5,13.5,7.5,17.5,1.5,16.5,10.5,18.5
37001676,N03,1,13.76,MASCULIN,8.0,5.5,14.0,17.0,13.5,12.0,17.5,12.0,18.5
32054543,N03,42,14.72,FEMININ,11.5,13.5,15.5,16.5,11.0,9.5,16.0,17.0,18.5
36025037,N03,23,9.2,FEMININ,4.5,11.0,7.5,11.5,10.0,3.0,6.0,10.5,13.5
31053031,N03,16,12.39,FEMININ,16.5,15.0,10.5,15.0,12.0,10.5,9.5,11.0,14.5
36009311,N03,21,9.97,FEMININ,8.0,8.0,12.0,12.5,7.0,12.5,8.0,8.5,17.5
37044485,N04,31,14.53,FEMININ,12.0,14.5,15.0,17.0,16.0,11.0,11.5,15.0,17.5
32072158,N03,44,10.81,FEMININ,11.0,7.5,9.0,15.0,14.0,3.5,9.5,8.0,17.5
32061081,N03,44,11.15,FEMININ,16.5,17.5,10.5,11.0,6.0,5.0,10.0,12.0,16.5
32062455,N05,44,11.15,FEMININ,13.5,10.0,11.0,6.5,4.0,9.5,11.5,17.5,13.5
37043483,N03,31,16.73,FEMININ,13.0,12.5,16.5,16.5,17.5,14.0,17.0,18.5,19.5
36030950,N03,23,14.17,FEMININ,11.5,9.5,15.5,16.5,12.5,16.0,18.5,11.0,15.0
36032421,N03,23,10.0,FEMININ,16.5,14.0,10.0,12.5,7.0,7.5,6.5,8.0,15.5
34026860,N03,12,14.93,FEMININ,13.5,13.5,15.0,17.5,11.0,11.5,18.0,15.0,17.5
32006493,N03,2,13.21,FEMININ,13.5,9.5,17.0,17.0,17.0,10.0,9.0,12.0,15.0
31078914,N03,16,11.32,MASCULIN,14.0,15.0,9.5,12.5,10.5,4.0,12.5,9.5,13.5
37059336,N05,31,11.22,MASCULIN,13.0,7.5,14.5,12.5,9.0,6.5,11.5,13.5,10.5
31031588,N05,35,11.03,FEMININ,4.0,3.5,14.0,4.5,14.5,4.0,9.5,16.0,13.5
35076220,N03,19,15.3,MASCULIN,14.5,11.0,16.0,15.0,19.0,12.0,18.5,10.5,18.5
32052558,N05,42,15.2,MASCULIN,9.5,6.5,16.5,15.5,17.0,3.0,14.5,20.0,18.5
35015936,N03,5,10.95,FEMININ,11.5,11.5,9.5,14.5,8.0,8.5,11.0,10.5,14.0
34021081,N03,12,9.75,FEMININ,13.0,9.0,13.0,10.5,6.0,13.5,9.0,7.5,12.0
31012408,N03,15,12.94,FEMININ,15.0,12.0,16.0,12.0,11.0,14.5,8.0,13.5,19.5
31025292,N05,35,9.33,MASCULIN,0.5,7.0,7.0,5.0,12.5,4.5,5.0,17.5,6.0
31044880,N04,16,17.99,FEMININ,18.0,18.0,16.5,16.5,19.5,16.0,19.5,12.5,19.5
38050682,N03,29,11.97,FEMININ,9.5,12.5,12.5,16.5,10.5,14.5,7.0,12.0,16.0
32038727,N03,9,9.67,FEMININ,18.5,14.0,11.0,13.5,4.0,9.5,7.0,7.5,12.5
38033074,N05,22,11.46,MASCULIN,7.5,10.5,10.5,9.0,8.5,6.5,8.0,19.5,14.0
39070279,N05,39,10.57,MASCULIN,3.0,5.5,6.0,11.0,15.5,5.0,7.5,12.5,16.5
31072225,N03,16,9.92,FEMININ,10.5,7.5,13.5,9.0,8.0,7.0,8.5,11.0,13.5
33035635,N03,18,14.05,FEMININ,11.0,14.5,12.0,18.0,14.0,12.5,13.0,13.0,18.0
39058618,N04,30,9.7,MASCULIN,11.5,8.5,14.5,10.0,6.5,3.5,11.5,9.0,16.5
32003366,N05,2,14.17,FEMININ,10.0,7.5,11.0,13.0,11.0,4.5,18.0,20.0,15.5
34004605,N03,4,14.17,FEMININ,11.0,8.5,13.5,12.5,14.0,11.0,14.5,17.0,19.0
36041340,N05,36,10.87,MASCULIN,4.5,3.5,8.0,9.0,12.0,5.5,9.5,16.5,13.0
31015069,N04,15,11.21,MASCULIN,14.5,16.0,10.0,7.0,11.0,7.0,14.0,1.0,7.5
35089281,N03,28,11.88,FEMININ,10.0,9.5,14.0,13.5,8.0,6.5,15.0,12.0,15.0
31072401,N03,16,16.41,FEMININ,18.5,16.5,13.5,15.0,18.0,15.0,17.0,15.0,19.5
37036510,N03,27,14.72,FEMININ,14.5,14.0,12.0,16.5,14.0,11.0,18.5,12.5,18.5
34013201,N03,4,10.42,FEMININ,8.0,7.0,8.0,11.5,14.5,10.0,7.0,10.5,11.5
33002245,N03,6,15.73,FEMININ,15.5,17.5,16.5,14.5,16.5,9.5,18.5,13.5,16.5
31011554,N05,15,10.93,FEMININ,5.0,18.0,10.5,17.0,8.0,18.13,9.5,10.0,8.5
37029307,N03,13,11.93,MASCULIN,15.5,16.5,10.5,12.0,17.0,8.5,11.0,7.0,9.0
34005499,N03,4,16.67,FEMININ,15.5,11.0,18.0,15.5,20.0,15.0,20.0,13.0,19.0
31022797,N03,33,12.08,FEMININ,14.5,13.0,14.0,14.5,12.0,9.5,6.0,13.0,16.5
34000874,N03,4,10.35,FEMININ,7.5,8.0,14.0,8.5,5.5,6.5,14.0,10.5,17.0
31098201,N03,16,10.93,MASCULIN,5.0,6.0,11.5,14.0,17.0,4.5,13.0,6.0,14.5
32011609,N03,2,11.57,FEMININ,10.0,4.0,15.5,16.5,9.0,13.0,8.5,13.0,14.0
31076869,N03,16,9.23,MASCULIN,8.5,14.5,8.0,13.5,9.5,3.0,4.0,10.0,11.0
34070778,N03,43,13.35,FEMININ,12.0,11.5,15.5,12.5,14.5,8.0,12.5,14.0,15.5
35010464,N03,5,10.9,FEMININ,11.0,6.0,13.5,15.5,8.5,7.5,7.0,11.5,19.0
36004964,N03,21,10.57,FEMININ,11.0,9.5,11.0,17.5,5.0,8.5,5.0,15.0,17.0
34052899,N03,25,15.32,FEMININ,19.0,17.0,15.5,15.0,16.5,13.5,17.0,11.5,14.0
37001171,N03,1,13.09,FEMININ,16.5,9.0,13.0,15.5,14.0,11.0,11.5,12.0,15.0
34026629,N03,12,11.87,FEMININ,2.0,10.0,13.0,7.0,14.5,10.0,15.5,10.0,17.5
32062852,N03,42,10.28,FEMININ,8.0,7.0,15.5,16.5,9.0,12.5,6.0,8.0,15.5
36039454,N03,36,11.69,FEMININ,10.0,6.0,14.0,11.5,12.5,4.5,15.0,9.0,18.5
36033486,N03,24,13.88,FEMININ,11.0,7.5,13.0,15.0,16.5,4.5,15.0,16.5,11.5
38037598,N03,22,11.05,MASCULIN,10.0,8.5,9.0,11.5,12.0,9.5,10.5,11.0,12.5
32001740,N03,2,13.01,FEMININ,7.5,8.5,16.0,12.5,14.5,11.0,13.5,13.5,13.5
37061289,N03,31,10.46,FEMININ,10.0,11.5,15.0,14.0,8.5,10.0,6.0,9.0,17.0
32008832,N03,2,13.88,MASCULIN,13.5,10.5,18.5,16.5,13.0,5.5,10.5,16.5,18.0
35088379,N03,28,9.86,FEMININ,6.0,7.5,14.0,12.0,11.5,5.5,6.0,9.0,17.0
31065992,N03,16,11.25,MASCULIN,6.0,8.0,10.5,12.0,11.5,4.5,16.0,9.5,15.5
34032746,N03,25,13.1,MASCULIN,11.0,8.0,13.5,8.5,11.5,4.5,18.5,15.5,15.5
36019760,N03,23,14.6,FEMININ,16.0,11.5,12.5,14.5,16.5,6.5,17.0,15.0,12.0
31044620,N03,16,14.8,MASCULIN,12.0,11.5,16.0,14.5,15.0,11.0,18.5,13.5,16.0
34035957,N03,25,10.57,FEMININ,8.0,4.5,12.0,18.0,8.0,7.0,11.5,8.5,16.0
37073256,N04,48,17.29,MASCULIN,16.5,13.5,17.0,18.5,19.0,11.0,19.0,16.5,16.0
32067011,N03,44,15.27,MASCULIN,11.0,12.0,17.0,16.0,16.0,14.0,13.0,16.5,19.5
37050643,N03,31,9.82,MASCULIN,11.0,12.5,6.5,7.5,11.0,8.5,3.5,14.0,10.0
34049173,N03,40,12.62,MASCULIN,16.0,12.0,15.0,13.0,8.0,10.0,14.5,11.5,17.5
35031398,N03,7,14.42,FEMININ,10.5,10.5,17.5,13.5,13.0,10.5,16.0,16.5,15.5
39080267,N03,47,10.22,MASCULIN,4.5,7.5,11.5,7.0,6.5,2.0,13.0,15.0,14.0
37009077,N03,1,9.57,MASCULIN,4.0,10.5,11.0,10.0,12.0,10.0,9.0,6.0,12.5
